<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.08.31	00:00:00	1641.2	1644.9	1615.7	1625.0	423	0	0
2009.09.01	00:00:00	1625.0	1649.0	1590.3	1595.5	880	0	0
2009.09.02	00:00:00	1595.2	1602.9	1585.2	1593.0	333	0	0
2009.09.03	00:00:00	1592.7	1608.4	1584.5	1603.9	367	0	0
2009.09.04	00:00:00	1604.5	1640.5	1600.5	1635.7	489	0	0
2009.09.08	00:00:00	1635.5	1656.7	1633.8	1655.2	262	0	0
2009.09.09	00:00:00	1653.7	1676.9	1645.0	1665.9	517	0	0
2009.09.10	00:00:00	1666.5	1686.5	1661.8	1685.0	310	0	0
2009.09.11	00:00:00	1683.2	1690.9	1674.0	1685.4	317	0	0
2009.09.14	00:00:00	1685.0	1693.5	1670.0	1689.7	424	0	0
2009.09.15	00:00:00	1690.5	1703.5	1681.5	1696.7	379	0	0
2009.09.16	00:00:00	1695.0	1725.0	1694.8	1719.5	360	0	0
2009.09.17	00:00:00	1718.7	1745.9	1714.0	1721.9	607	0	0
2009.09.18	00:00:00	1722.0	1735.0	1715.5	1733.4	277	0	0
2009.09.21	00:00:00	1717.2	1733.7	1706.7	1727.7	436	0	0
2009.09.22	00:00:00	1727.5	1741.2	1725.5	1734.2	248	0	0
2009.09.23	00:00:00	1733.5	1753.2	1720.8	1725.5	569	0	0
2009.09.24	00:00:00	1724.2	1736.7	1696.0	1699.5	568	0	0
2009.09.25	00:00:00	1699.0	1709.0	1688.8	1697.0	385	0	0
2009.09.28	00:00:00	1697.0	1732.5	1688.0	1722.7	634	0	0
2009.09.29	00:00:00	1722.5	1730.7	1706.8	1715.5	409	0	0
2009.09.30	00:00:00	1715.0	1730.0	1688.8	1717.5	800	0	0
2009.10.01	00:00:00	1716.0	1726.7	1663.8	1670.5	804	0	0
2009.10.02	00:00:00	1669.7	1674.7	1649.7	1662.2	426	0	0
2009.10.05	00:00:00	1662.5	1681.2	1658.0	1674.0	350	0	0
2009.10.06	00:00:00	1674.0	1711.2	1674.0	1700.7	478	0	0
2009.10.07	00:00:00	1700.7	1709.9	1696.0	1707.9	207	0	0
2009.10.08	00:00:00	1707.5	1730.7	1707.5	1716.5	375	0	0
2009.10.09	00:00:00	1716.0	1727.7	1706.5	1725.5	330	0	0
2009.10.12	00:00:00	1725.0	1740.5	1716.5	1727.7	454	0	0
2009.10.13	00:00:00	1728.0	1735.7	1720.3	1726.8	297	0	0
2009.10.14	00:00:00	1740.0	1754.5	1737.8	1747.7	258	0	0
2009.10.15	00:00:00	1747.5	1754.2	1737.0	1748.5	335	0	0
2009.10.16	00:00:00	1749.5	1758.0	1724.8	1731.5	485	0	0
2009.10.19	00:00:00	1730.0	1756.5	1723.3	1750.2	463	0	0
2009.10.20	00:00:00	1749.5	1773.5	1743.5	1758.2	514	0	0
2009.10.21	00:00:00	1757.2	1779.2	1746.0	1753.2	625	0	0
2009.10.22	00:00:00	1749.5	1766.2	1737.5	1762.5	445	0	0
2009.10.23	00:00:00	1762.2	1778.2	1746.7	1752.0	529	0	0
2009.10.26	00:00:00	1751.0	1777.2	1737.5	1748.0	765	0	0
2009.10.27	00:00:00	1747.5	1751.7	1713.0	1719.8	498	0	0
2009.10.28	00:00:00	1719.5	1723.0	1677.3	1680.0	520	0	0
2009.10.29	00:00:00	1680.7	1712.9	1677.2	1707.4	448	0	0
2009.10.30	00:00:00	1707.0	1711.7	1660.0	1665.5	620	0	0
2009.11.02	00:00:00	1661.0	1687.7	1650.3	1669.0	669	0	0
2009.11.03	00:00:00	1670.7	1677.4	1651.0	1675.4	482	0	0
2009.11.04	00:00:00	1675.0	1700.0	1673.5	1686.7	414	0	0
2009.11.05	00:00:00	1686.7	1721.9	1671.5	1719.2	684	0	0
2009.11.06	00:00:00	1719.0	1737.5	1705.0	1729.7	544	0	0
2009.11.09	00:00:00	1728.0	1767.5	1727.5	1766.5	416	0	0
2009.11.10	00:00:00	1766.0	1776.5	1759.0	1772.5	286	0	0
2009.11.11	00:00:00	1772.2	1792.4	1770.7	1783.7	320	0	0
2009.11.12	00:00:00	1784.0	1793.5	1768.5	1773.8	399	0	0
2009.11.13	00:00:00	1772.7	1792.4	1770.2	1788.2	290	0	0
2009.11.16	00:00:00	1789.5	1813.7	1787.3	1803.5	389	0	0
2009.11.17	00:00:00	1802.7	1811.7	1795.2	1808.7	271	0	0
2009.11.18	00:00:00	1808.7	1813.2	1788.7	1800.5	409	0	0
2009.11.19	00:00:00	1800.5	1802.0	1759.8	1770.3	543	0	0
2009.11.20	00:00:00	1770.5	1774.0	1755.0	1763.5	311	0	0
2009.11.23	00:00:00	1763.0	1801.7	1762.3	1791.2	507	0	0
2009.11.24	00:00:00	1790.2	1793.7	1775.7	1786.5	324	0	0
2009.11.25	00:00:00	1786.2	1799.7	1785.5	1794.2	205	0	0
2009.11.27	00:00:00	1794.2	1797.2	1722.2	1759.2	1151	0	0
2009.11.30	00:00:00	1763.0	1775.0	1750.3	1767.5	450	0	0
2009.12.01	00:00:00	1766.5	1799.0	1765.0	1792.0	426	0	0
2009.12.02	00:00:00	1791.2	1806.4	1786.0	1791.4	407	0	0
2009.12.03	00:00:00	1791.5	1806.7	1777.8	1780.3	467	0	0
2009.12.04	00:00:00	1779.5	1816.2	1772.8	1795.0	714	0	0
2009.12.07	00:00:00	1795.0	1799.0	1779.0	1784.0	291	0	0
2009.12.08	00:00:00	1785.2	1789.7	1760.0	1768.5	428	0	0
2009.12.09	00:00:00	1768.7	1792.7	1758.7	1792.4	444	0	0
2009.12.10	00:00:00	1791.5	1808.5	1786.3	1800.0	360	0	0
2009.12.11	00:00:00	1799.5	1812.7	1784.5	1794.0	510	0	0
2009.12.14	00:00:00	1794.2	1810.9	1788.2	1809.7	300	0	0
2009.12.15	00:00:00	1809.7	1813.7	1793.2	1796.7	281	0	0
2009.12.16	00:00:00	1797.7	1814.9	1796.5	1801.7	329	0	0
2009.12.17	00:00:00	1802.2	1803.9	1776.7	1787.2	395	0	0
2009.12.18	00:00:00	1788.2	1797.9	1786.2	1794.8	169	0	0
2009.12.21	00:00:00	1806.0	1833.7	1803.0	1825.5	420	0	0
2009.12.22	00:00:00	1825.5	1841.0	1825.3	1841.0	160	0	0
2009.12.23	00:00:00	1841.0	1853.0	1837.0	1852.2	209	0	0
2009.12.24	00:00:00	1851.7	1869.4	1850.7	1868.4	208	0	0
2009.12.28	00:00:00	1867.5	1881.5	1862.8	1874.5	305	0	0
2009.12.29	00:00:00	1873.7	1881.2	1869.2	1872.5	229	0	0
2009.12.30	00:00:00	1871.0	1880.2	1862.3	1876.7	302	0	0
2009.12.31	00:00:00	1876.0	1882.0	1858.8	1858.8	293	0	0
2010.01.04	00:00:00	1865.5	1889.0	1865.5	1886.7	259	0	0
2010.01.05	00:00:00	1886.5	1890.2	1876.0	1885.3	273	0	0
2010.01.06	00:00:00	1885.2	1891.7	1872.2	1878.5	324	0	0
2010.01.07	00:00:00	1877.7	1880.4	1865.7	1877.5	293	0	0
2010.01.08	00:00:00	1877.5	1892.5	1865.0	1890.0	426	0	0
2010.01.11	00:00:00	1892.2	1899.9	1874.2	1883.5	428	0	0
2010.01.12	00:00:00	1882.0	1883.7	1850.0	1865.5	510	0	0
2010.01.13	00:00:00	1866.0	1889.5	1853.3	1882.5	560	0	0
2010.01.14	00:00:00	1882.2	1890.2	1876.0	1888.2	225	0	0
2010.01.15	00:00:00	1893.0	1894.0	1854.8	1862.3	478	0	0
2010.01.19	00:00:00	1861.7	1895.7	1857.5	1889.7	485	0	0
2010.01.20	00:00:00	1889.2	1892.2	1845.5	1867.0	713	0	0
2010.01.21	00:00:00	1867.7	1883.4	1838.7	1841.0	628	0	0
2010.01.22	00:00:00	1841.2	1849.2	1789.5	1797.7	760	0	0
2010.01.25	00:00:00	1794.7	1811.7	1792.5	1798.4	348	0	0
2010.01.26	00:00:00	1809.7	1823.7	1783.7	1796.5	669	0	0
2010.01.27	00:00:00	1798.7	1821.4	1787.7	1808.9	573	0	0
2010.01.28	00:00:00	1807.5	1820.0	1759.3	1770.5	845	0	0
2010.01.29	00:00:00	1777.7	1789.2	1731.7	1739.2	766	0	0
2010.02.01	00:00:00	1740.0	1758.2	1737.0	1755.7	268	0	0
2010.02.02	00:00:00	1756.2	1777.9	1747.7	1768.9	478	0	0
2010.02.03	00:00:00	1769.0	1786.5	1763.5	1785.5	296	0	0
2010.02.04	00:00:00	1784.5	1792.0	1731.5	1734.8	714	0	0
2010.02.05	00:00:00	1734.0	1747.7	1710.8	1745.0	629	0	0
2010.02.08	00:00:00	1747.2	1753.7	1730.5	1734.5	338	0	0
2010.02.09	00:00:00	1734.0	1767.2	1732.0	1752.0	525	0	0
2010.02.10	00:00:00	1752.5	1762.7	1736.0	1744.8	458	0	0
2010.02.11	00:00:00	1744.5	1778.7	1736.8	1775.5	529	0	0
2010.02.12	00:00:00	1773.2	1783.4	1754.0	1783.2	489	0	0
2010.02.16	00:00:00	1781.5	1801.5	1775.3	1799.2	348	0	0
2010.02.17	00:00:00	1799.2	1812.4	1797.5	1811.7	174	0	0
2010.02.18	00:00:00	1812.0	1824.7	1804.8	1820.7	312	0	0
2010.02.19	00:00:00	1819.2	1829.9	1801.0	1819.2	579	0	0
2010.02.22	00:00:00	1818.7	1832.9	1810.2	1820.9	433	0	0
2010.02.23	00:00:00	1819.7	1828.9	1785.2	1801.0	688	0	0
2010.02.24	00:00:00	1799.5	1819.7	1796.5	1814.0	320	0	0
2010.02.25	00:00:00	1813.0	1816.0	1780.5	1813.5	706	0	0
2010.02.26	00:00:00	1813.0	1822.2	1803.5	1818.5	320	0	0
2010.03.01	00:00:00	1821.2	1848.4	1821.2	1842.7	330	0	0
2010.03.02	00:00:00	1842.7	1862.2	1842.5	1852.2	300	0	0
2010.03.03	00:00:00	1851.0	1861.2	1845.8	1852.0	299	0	0
2010.03.04	00:00:00	1851.2	1860.7	1844.2	1859.7	246	0	0
2010.03.05	00:00:00	1858.7	1889.4	1857.0	1885.4	382	0	0
2010.03.08	00:00:00	1884.0	1894.7	1883.3	1888.2	187	0	0
2010.03.09	00:00:00	1888.0	1912.0	1881.0	1901.2	489	0	0
2010.03.10	00:00:00	1901.5	1921.2	1900.0	1918.7	253	0	0
2010.03.11	00:00:00	1917.7	1926.7	1909.2	1925.2	276	0	0
2010.03.12	00:00:00	1926.0	1935.2	1916.5	1926.7	368	0	0
2010.03.15	00:00:00	1927.7	1927.7	1906.5	1919.5	343	0	0
2010.03.16	00:00:00	1921.2	1934.4	1919.0	1930.9	212	0	0
2010.03.17	00:00:00	1930.2	1946.2	1929.7	1936.4	269	0	0
2010.03.18	00:00:00	1936.0	1945.5	1931.8	1944.5	190	0	0
2010.03.19	00:00:00	1944.5	1952.0	1941.5	1950.5	151	0	0
2010.03.22	00:00:00	1927.2	1954.2	1919.0	1948.4	493	0	0
2010.03.24	00:00:00	1961.0	1962.0	1946.0	1951.5	226	0	0
2010.03.25	00:00:00	1951.0	1974.2	1945.8	1949.5	554	0	0
2010.03.26	00:00:00	1949.0	1963.0	1939.3	1951.7	448	0	0
